Date,Open,High,Low,Close,Adj Close,Volume
2017-12-26,1142.000000,1155.599976,1140.199951,1150.750000,1127.105835,820589
2017-12-27,1150.000000,1157.000000,1142.000000,1149.050049,1125.440918,611258
2017-12-28,1146.000000,1154.349976,1138.349976,1144.400024,1120.886230,536350
2017-12-29,1145.099976,1172.500000,1142.050049,1158.500000,1134.696411,965848
2018-01-01,1163.000000,1165.000000,1138.099976,1143.650024,1120.151733,591349
2018-01-02,1146.000000,1150.000000,1134.050049,1142.750000,1119.270264,516171
2018-01-03,1149.000000,1149.000000,1135.300049,1141.900024,1118.437622,593809
2018-01-04,1149.000000,1178.000000,1145.900024,1172.050049,1147.968262,729965
2018-01-05,1178.000000,1192.000000,1167.449951,1185.250000,1160.897095,1151320
2018-01-08,1190.000000,1190.849976,1173.500000,1182.000000,1157.713745,928875
2018-01-09,1183.099976,1197.199951,1175.099976,1193.050049,1168.536743,699621
2018-01-10,1186.000000,1189.099976,1171.099976,1177.400024,1153.208252,1102382
2018-01-11,1179.900024,1189.949951,1170.000000,1188.949951,1164.520874,475476
2018-01-12,1187.000000,1192.550049,1176.000000,1189.699951,1165.255249,390841
2018-01-15,1189.650024,1208.199951,1182.449951,1204.050049,1179.310669,723833
2018-01-16,1204.050049,1204.050049,1184.000000,1188.750000,1164.325073,557253
2018-01-17,1186.800049,1196.400024,1178.400024,1193.750000,1169.222290,506648
2018-01-18,1195.000000,1204.099976,1181.000000,1188.250000,1163.835449,500762
